date,opening_sentence
2021-05-21,Hello and welcome to broadcast the flagship podcast of natural language interpretation.
2021-05-22,Welcome to The Vergecast of flagship podcast has in app purchases.
2022-03-18,"Hello, and welcome to the Vergecast flagship podcast, bad charts."
2022-04-08,"Hello, and you are listening to the Vergecast the flagship podcast of the edit button."
2022-05-20,"Welcome to Vergecast the flagship podcast, free speech in America, Army."
2022-08-24,Welcome to the Vergecast the flagship podcast of mappable buttons.
2022-08-31,Welcome to the Vergecast the flagship podcast of unattractive messaging apps.
2022-09-06,Welcome to the Vergecast the flagship podcast of planned obsolescence.
2022-09-14,Welcome to the Vergecast the flagship podcast of Sarah fonts.
2022-09-28,"Welcome to the Vergecast, the flagship podcast of Low Latency controller input."
2022-10-03,"Welcome to the Vergecast, the flagship podcast of Screens Within Screens Within Screens."
2022-10-05,"Welcome to the Vergecast, the flagship podcast of Hard Copy peripherals."
2022-10-11,"Welcome to the Vergecast, the flagship podcast of low latency head tracking."
2022-11-23,"Welcome to the Vergecast, the flagship podcast of Connected Meat Thermometers."
2022-12-05,"Welcome to the Vergecast, the flagship podcast of dynamically viral videos."
2022-12-12,"Welcome to the Vergecast, the flagship podcast of Stream snipers."
2022-12-21,"Hello and welcome to the Vergecast Bluetooth, holiday Spectacular, the flagship podcast of the holidays of all of the holidays,."
2023-01-11,"Hello, and you're listening to the Vergecast, the flagship podcast of recovering from the c e s Funk."
2023-01-20,Hello and welcome to Vergecast Flagship podcast of automated content creation.
2023-02-08,"Hello, and you're listening to the Vergecast, the flagship podcast of building your own lightsaber."
2023-02-22,"Hello and welcome to the Vergecast, the flagship podcast of not yet announced Sono Speakers."
2023-03-01,"Welcome to the Vergecast, the flagship podcast of hyper specific wearable sensors."
2023-03-13,"Welcome to the Vergecast, the flagship podcast of little tiny hamburger keys on a keyboard."
2023-04-05,"Welcome to the Vergecast, the flagship podcast of Peer-to-Peer wireless networking."
2023-04-12,"Welcome to the Vergecast, the flagship podcast of Rabbit Ear Antennas."
2023-06-28,"Welcome to The Vergecast, the flagship podcast of The Console Wars."
2023-07-07,"Welcome to The Vergecast, the flagship podcast of cloning other people's apps and calling them slightly different names."
2023-07-12,"Welcome to The Vergecast, the flagship podcast of Transformers, both the movie and the AI thing."
2023-07-19,"Welcome to The Vergecast, the flagship podcast of Sustainable Supply Chain economics."
2023-07-26,"Welcome to The Vergecast, the flagship podcast of answering machines."
2023-08-02,"Welcome to The Vergecast, the flagship podcast of texting on the outside screen."
2023-08-09,"Welcome to The Vergecast, the flagship podcast of corporate and fighting."
2023-08-11,"Hello and Welcome to The Vergecast, the flagship podcast of integrating apps into five g a plan."
2023-08-16,"Welcome to The Vergecast, the flagship podcast of non-exclusive distribution deals."
2023-08-23,"Welcome to The Vergecast, the flagship podcast of payment processing fees."
2023-09-11,"Welcome to The Vergecast, the flagship podcast of Neurological Engines for overdubbing."
2023-09-18,"Welcome to The Vergecast, the flagship podcast of procedurally generated four on the floor."
2023-09-20,"Welcome to The Vergecast, the flagship podcast of the action button."
2023-09-25,"Welcome to The Vergecast, the flagship podcast of generative search queries."
2023-09-27,"Welcome to The Vergecast, the flagship podcast of the LaserDisc Resurgence."
2023-10-11,"Welcome To, The Vergecast, the flagship podcast of AI generated wallpapers."
2023-10-18,"Welcome To The Vergecast, the flagship podcast of glassholes."
2023-10-20,"Hello? And Welcome To, the Vergecast, the flagship podcast of the Confusion Zone."
2023-10-23,"Welcome, To, The Vergecast, the flagship podcast of really simple syndication."
2023-10-25,"Welcome To The Vergecast, the flagship podcast of The Vergecast."
2023-10-30,"Welcome To, The Vergecast, the flagship podcast of Network attached storage."
2023-11-01,"Welcome To The Vergecast, the flagship podcast of Spec Bumps."
2023-11-08,"Welcome To The Vergecast, the flagship podcast of Anti steering provisions."
2023-11-10,"Welcome To, the Vergecast flagship podcast of Fox Media."
2023-11-13,"Welcome To, The Vergecast, the flagship podcast of Horizontal Scan Lines."
2023-11-15,"Welcome To The Vergecast, the flagship podcast of machine learning based recommendation systems."
2023-11-29,"Welcome To The Vergecast, the flagship podcast of multi drone camera setups."
2023-12-06,"Welcome To The Vergecast, the flagship podcast of using gift cards to buy other gift cards."
2023-12-13,"Welcome To The Vergecast, the flagship podcast of Good Tweets."
2024-01-17,"Welcome To The Vergecast, the flagship podcast of Endlessly Looping Sounds."
2024-01-30,"Welcome To The Vergecast, the flagship podcast of Variable Immersion."
2024-02-06,"Welcome To The Vergecast, the flagship podcast of Anti glare coatings."
2024-02-13,"Welcome To The Vergecast, the flagship podcast of video podcasts."
2024-02-20,"Welcome To, The Vergecast, the flagship podcast of Sneaky Gaming Strategies."
2024-02-27,"Welcome To The Vergecast, the flagship podcast of the economic theory of Dave and Busters."
2024-03-05,"Welcome To The Vergecast, the flagship podcast of Region Locked Phones."
2024-03-19,"Welcome To The Vergecast, the flagship podcast of scale DV production."
2024-03-26,"Welcome To The Vergecast, the flagship podcast of Canceled out cricket sounds."
2024-03-29,"Welcome To The Vergecast, the flagship podcast of the TikTok Ban."
2024-04-02,"Welcome To The Vergecast, the flagship podcast of alternate keyboard layouts."
2024-04-09,"Welcome To The Vergecast, the flagship podcast of Super App Regulation."
2024-04-16,"Welcome To The Vergecast, the flagship podcast of Undersea Cable Management."
2024-04-23,"Welcome To The Vergecast, the flagship podcast of Forced App Divesture."
2024-04-30,"Welcome To The Vergecast, the flagship podcast of dedicated AI hardware."
2024-05-05,"Welcome To The Vergecast, the flagship podcast of Mushy Bowls,."
2024-05-07,"Welcome To The Vergecast, the flagship podcast of Enterprise Certificate Hacks."
2024-05-10,"Hello And Welcome to Vergecast, the flagship podcast of manufacturing in southeastern Wisconsin."
2024-05-14,"Welcome To The Vergecast, the flagship podcast of Tandem Mo Lead."
2024-05-21,"Welcome To The Vergecast, the flagship podcast of Arm based chipsets."
2024-06-04,"Welcome To The Vergecast, the flagship podcast of Audio over wifi."
2024-06-18,"Welcome To The Vergecast, the flagship podcast of super helpful humanoid helper robots."
2024-06-25,"Welcome To The Vergecast, the flagship podcast of the many, many definitions of electronic paper."
2024-07-02,"Welcome To The Vergecast, the flagship podcast of Spatial Computing."
2024-07-09,"Welcome To The Vergecast, the flagship podcast of Corporate in Fighting."
2024-07-16,"Welcome To The Vergecast, the flagship podcast of Nose Bridge Microphones."
2024-07-23,"Welcome To, The Vergecast, the flagship podcast of Configuration Changes."
2024-07-30,"Welcome To The Vergecast, the flagship podcast of dedicated streaming hardware."
2024-08-06,"Welcome To The Vergecast, the flagship podcast of whatever the future of the Kindle turns out to be."
2024-08-13,"Welcome To The Vergecast, the flagship podcast of the correct height to width ratio of a foldable phone."
2024-08-20,"Welcome To The Vergecast, the flagship podcast of Hydrogen Futures."
2024-08-25,"Welcome To The Vergecast, the flagship podcast of Never Ending to-Do Lists."
2024-08-27,"Welcome To The Vergecast, the flagship podcast of the Native Resonance of Your Smartphone."
2024-09-18,"Welcome To The Vergecast, the flagship podcast of ugly color tinted app icons that we love."
2024-09-22,"Welcome To The Vergecast, the flagship podcast of Infinite Context Windows."
2024-09-24,"Welcome To, The Vergecast, the flagship podcast of things, code named Strawberry."
2024-09-29,"Welcome To The Vergecast, the flagship podcast of Bot Farms."
2024-10-13,"Welcome To The Vergecast, the flagship podcast of making this putt right now."
2024-10-18,"Hello and welcome to Vergecast, the flagship podcast of knowing that you should just always take the over on Tesla ship dates."
2024-10-20,"Welcome To The Vergecast, the flagship podcast of Robot Baristas."
2024-10-25,Hello and welcome to Vergecast the flagship podcast.
2024-10-29,"Welcome To The Vergecast, the flagship podcast of decreasing the cost of AI infrastructure."
2024-11-01,"Hello and welcome to Vergecast Flagship podcast, searching using artificial intelligence."
2024-11-03,"Welcome To The Vergecast, the flagship podcast of Low Stakes Game shows."
2024-11-05,"Welcome To The Vergecast, the flagship podcast of Farfield Microphones."
2024-11-10,"Welcome To The Vergecast, the flagship podcast of the Difference Between Reverb and De Verb."
2024-11-12,"Welcome To The Vergecast, the flagship podcast of Quantified REM Cycles."
2024-11-15,"Hello and welcome to Vergecast, the flagship podcast of six inch Wall tablets."
2024-11-17,"Welcome To The Vergecast, the flagship podcast of music apps you play on your phone with your mouth."
2024-11-19,"Welcome To The Vergecast, the flagship podcast of the Bullet Journal Method."
2024-11-29,"Welcome To The Vergecast, the flagship podcast of Cozy Games."
2024-12-08,"Welcome To The Vergecast, the flagship podcast of extremely mild, very hot takes."
2024-12-10,"Welcome To The Vergecast, the flagship podcast of Inside Baseball."
2024-12-15,"Welcome To The Vergecast, the flagship podcast of Low Stakes Time Travel."
2024-12-17,"Welcome To The Vergecast, the flagship podcast of Vaporware."
2024-12-24,"Welcome To The Vergecast, the flagship podcast of really, really, really long podcasts."
2025-01-10,Hello and welcome to Vergecast the flagship podcast of Bowling.
2025-01-14,"Welcome To The Vergecast, the flagship podcast of Crowdfunded Sox."
2025-01-17,"Welcome To The Vergecast, the flagship podcast of additional USB ports."
2025-01-21,"Welcome To The Vergecast, the flagship podcast of Qualified Divestiture."
2025-01-28,"Welcome To The Vergecast, the flagship podcast of immediately giving up on every single one of your New Year's resolutions."
2025-02-04,"Welcome To The Vergecast, the flagship podcast of minor smartphone camera upgrades."
2025-02-11,"Welcome To The Vergecast, the flagship podcast of Chain of Thought Reasoning."
2025-02-18,"Welcome To The Vergecast, the flagship podcast of completely unnecessary corporate pivots."
2025-02-21,"Welcome to The Vergecast, the flagship podcast of the Humane AI pin for what I assume will be the very last time."
2025-02-25,"Welcome to The Vergecast, the flagship podcast of Intra Protocol Competition."
2025-03-04,"Welcome to The Vergecast, the flagship podcast of Modular Devices."
2025-03-11,"Welcome to The Vergecast, the flagship podcast of Camera Bump functionality."
2025-03-18,"Welcome to The Vergecast, the flagship podcast of the Handheld Gaming Wars."
2025-04-01,"Welcome to The Vergecast, the flagship podcast of automotive tariff coverage."
2025-04-15,"Welcome to The Vergecast, the flagship podcast of like the fifth row of apps on your smart tv."
2025-04-22,"Welcome to The Vergecast, the flagship podcast of having really famous friends."
2025-04-29,"Welcome to The Vergecast, the flagship podcast of trucks that have no stereos and no paint and like no features of any kind."
2025-05-02,Hello and welcome to Vergecast the flagship podcast about being right about esoteric legal opinions four and a half years later after you wrote that blog post.
2025-05-13,"Welcome to The Vergecast, the flagship podcast of a very specific kind of pest control."
2025-05-20,"Welcome to The Vergecast, the flagship podcast of really important technology with absolutely no business model."
2025-05-27,"Welcome to The Vergecast, the flagship podcast of endless Litigation."
2025-06-10,"Welcome to The Vergecast, the flagship podcast of Liquid Glass."
2025-06-17,"Welcome to The Vergecast, the flagship podcast of Rainbow Road."
2025-06-20,"Welcome to The Vergecast, the flagship podcast of phones."
2025-06-24,"Welcome to The Vergecast, the flagship podcast of being unsupervised."
2025-07-01,"Welcome to The Vergecast, the flagship podcast of flying cars that you will never fly."
2025-07-15,"Welcome to The Vergecast, the flagship podcast of what AI smart glasses are actually good for."
2025-07-18,"Hello and Welcome to The Vergecast, the flagship podcast of deeply Uncomfortable Conversations with ai."
2025-07-22,"Welcome to The Vergecast, the flagship podcast of talking about other people eating chicken on other podcasts, but we don't eat chicken on this podcast."
2025-08-05,"Welcome to The Vergecast, the flagship podcast of knocking off other people's work and selling it for $2."
2025-08-10,"Welcome to The Vergecast, the flagship podcast of testing cursed technology."
2025-08-12,"Welcome to The Vergecast, the flagship podcast of finally figuring out how to get all of my smart lights working in one single app."
2025-08-15,"Hello and welcome to The Vergecast, the flagship podcast of Unsatisfying Corporate Stunts."
2025-08-22,"Hello and Welcome to The Vergecast, the flagship podcast of things that look like photos, but may or may not actually be photos."
2025-08-26,"Welcome to The Vergecast, the flagship podcast of small phones that are very tired and just wanna take a little rest."
2025-08-29,"Hello and Welcome to The Vergecast, the flagship podcast of suing Your Way to the top."
2025-09-02,"Welcome to The Vergecast, the flagship podcast of looking for naked singles."
2025-09-10,"Welcome to The Vergecast, the flagship podcast of Cross Body Straps."
2025-09-17,"Welcome to The Vergecast, the flagship podcast of phones that look like Phones."
2025-09-30,"Welcome to The Vergecast, the flagship podcast of bike buses, which are, it turns out exactly what you think they are."
2025-10-07,"Welcome to The Vergecast, the flagship podcast of treadmills that don't fit anywhere in my house."
